Feature,3300044942_P34SSC2_190917_f,3300044943_P34SSC2_190917_i,3300044944_P34SSC2_190917_c,3300044945_P34SSC2_191111_f,3300045458_P15SSC1_190915_i,3300045459_P15SSC1_191107_f,3300045460_P15SSC1_191107_i,3300045461_P24SSC2_190915_c,3300045462_P24SSC2_190915_f,3300045463_P24SSC2_190915_i,3300045464_P24SSC2_191109_c,3300045465_P24SSC2_191109_i,3300045466_P26SSC2_190918_c,3300045467_P26SSC2_190918_f,3300045468_P26SSC2_190918_i,3300045469_P26SSC2_191112_c,3300045470_P26SSC2_191112_f,3300045471_P35SSC1_191108_f,3300045472_P35SSC1_191108_i,3300045473_P26SSC2_191112_i,3300046191_P34SSC2_191111_c,3300048051_P15SSCI_191107_c,3300048052_P35SSC1_190914_c,3300048053_P35SSC1_190914_i,3300048054_P35SSC1_191108_c,3300048092_P11SSC1_190916_c,3300048093_P11SSC1_190916_f,3300048094_P11SSC1_190916_i,3300048095_P11SSC1_191119_f,3300048096_P11SSC1_191119_i,3300048099_P15SSC1_190912_c,3300048100_P15SSC1_190913_f
KO:K00099,608,197,49,38,225,24,10,80,150,79,6925,5,55,211,5,7,392,101,153,84,47,55,2,33,7,129,302,322,180,134,134,367
KO:K00100,150,125,26,87,174,61,74,77,147,149,177,94,64,104,42,241,84,135,211,398,154,137,6,0,27,187,155,103,300,268,119,239
KO:K00101,95,33,0,5,16,0,9,4,77,21,36,43,0,29,85,11,27,9,283,73,14,0,0,4,0,40,49,50,12,32,52,53
KO:K00102,70,103,8,2,226,20,11,31,61,58,28,0,0,42,20,19,17,58,34,71,3,207,0,0,2,47,41,76,51,69,61,223
KO:K00103,0,0,0,0,7,0,0,0,28,0,0,0,0,37,0,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K00104,559,426,103,40,167,78,8,90,234,167,18,26,37,181,0,62,118,97,194,101,83,0,2,26,5,323,520,400,333,191,170,237
KO:K00106,5,0,0,0,0,0,0,0,4,0,16,21,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,28,0,0
KO:K00107,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
KO:K00108,289,258,157,19,225,83,0,98,322,182,104,79,234,174,0,184,88,85,522,80,142,0,0,57,0,241,235,172,142,215,127,189
KO:K00111,339,381,8,6,342,162,88,36,416,175,449,407,0,65,0,7,8,103,531,493,20,0,6,117,0,52,30,190,42,151,105,143
KO:K00112,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
KO:K00113,11,25,10,0,16,0,0,19,30,36,42,0,0,47,0,0,0,8,0,0,4,0,0,0,0,55,45,7,60,23,0,45
KO:K00114,1742,2173,1143,31,1740,0,53,1430,1889,2461,190,65,2286,1509,64,197,333,317,2336,409,250,3,110,189,9,1354,1006,1145,256,70,1893,2012
KO:K00116,243,171,0,12,36,80,0,0,152,22,227,46,0,5,0,0,17,41,208,231,0,0,0,31,0,23,7,62,28,73,32,59
KO:K00117,1626,1837,1143,22,1242,0,27,8881,1683,1482,90,16,690,1156,0,184,159,406,767,287,174,0,77,53,22,1065,753,781,329,31,1416,1184
KO:K00118,206,66,94,1298,156,183,76,7,60,322,393,145,40,55,849,794,589,340,1145,1279,1181,23,0,11,91,51,92,34,888,360,3,32
KO:K00121,561,448,185,29,344,0,91,135,341,288,152,0,173,169,18,119,65,203,226,137,73,0,4,38,5,420,544,450,219,144,1307,424
KO:K00122,323,97,7,24,178,18,53,5,187,88,18,48,0,87,0,26,74,73,18,29,16,0,0,0,2,34,103,72,50,40,106,133
KO:K00123,3263,2480,1766,226,1644,84,252,2960,2526,2822,568,451,1900,1263,217,1074,1112,1063,1839,15834,458,9,173,86,102,1596,1785,1775,1835,501,2069,3953
KO:K00124,514,325,264,21,268,8,0,321,506,573,24,23,499,187,32,254,148,139,340,147,54,0,51,2,17,405,279,295,127,62,411,510
KO:K00125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0
KO:K00126,90,0,8,0,10,0,0,0,13,21,0,0,0,3,0,0,0,16,56,0,6,0,0,0,0,3,33,6,6,0,0,31
KO:K00127,284,301,235,13,100,0,15,182,128,213,47,0,215,84,0,81,118,31,231,43,36,0,5,11,0,293,90,149,18,40,287,358
KO:K00128,1409,443,312,137,834,397,390,133,819,487,650,566,93,606,160,105,633,578,476,621,233,0,16,32,17,306,620,624,401,587,449,789
KO:K00129,0,0,0,0,44,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,69
KO:K00130,210,186,10,30,121,178,109,17,68,145,73,136,22,39,0,7475,29,59,389,28,42,0,0,125,8,13,87,76,36,152,75,60
KO:K00131,23,27,0,16,14,0,0,0,80,0,32,0,0,6,0,3,12,14,235,7,19,0,0,26,0,3,0,22,12,5,0,0
KO:K00132,50,23,0,5,29,0,0,5,19,24,10,0,0,53,0,7,12,39,11,0,6,0,0,3,0,3,17,10,0,0,10,5
KO:K00133,2353,596,141,68,821,146,88,155,1307,691,484,175,192,825,10,217,542,468,380,508,54,77,12,14,5,376,1206,566,447,242,360,842
KO:K00134,9098,1580,438,638,1918,1315,952,547,3067,2031,2674,1567,438,1468,191,457,1562,1891,1202,2173,350,158,30,101,28,788,2407,1973,873,1406,3218,2276
KO:K00135,744,624,94,117,408,88,101,127,760,340,404,148,142,297,4,14620,195,303,800,286,75,61,9,116,25,338,413,541,418,369,228,627
KO:K00137,31,45,0,0,41,0,0,11,46,4,0,6,0,0,0,4,0,0,103,0,0,0,0,3,0,13,5,73,3,0,0,57
KO:K00138,299,678,129,11,160,321,235,97,181,277,190,188,272,42,0,28,15,103,919,265,82,7,8,197,16,126,212,173,3247,221,429,1064
KO:K00140,1178,743,191,132,307,467,137,168,641,634,1079,142,240,363,213,555,240,496,1230,341,159,0,14,309,34,415,365,519,260,176,311,482
KO:K00141,4,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,5,0,0,0,27,0,31,7,14,0,23,16,39
KO:K00143,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,2
KO:K00145,1558,384,56,54,595,34,31,32,784,212,216,56,50,382,10,46,369,521,326,192,65,76,8,8,3,337,998,481,356,219,181,472
KO:K00146,109,72,43,17,31,0,0,8,95,107,9,0,121,46,24,6,85,49,184,105,4,0,0,4,0,90,105,117,34,3,27,124
KO:K00147,312,117,60,14,232,0,29,24,97,73,89,12,68,73,13,10,72,80,166,90,59,71,8,21,4,160,261,152,147,147,102,230
KO:K00148,51,15,0,10,0,18,41,4,15,16,50,40,0,5,0,90,0,6,40,64,36,0,0,13,4,68,9,35,15,67,22,10
KO:K00150,4488,196,176,752,226,154,186,130,559,249,172,75,325,560,17,221,662,574,408,455,284,16,16,10,88,133,871,317,673,527,79,141
KO:K00151,11,0,0,4,29,0,0,0,20,11,64,14,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,6,13,0,4,10
KO:K00153,71,41,51,9,32,28,16,23,32,0,0,36,84,49,0,38,37,0,0,46,14,0,0,0,0,52,81,33,23,68,39,24
KO:K00154,219,95,20,0,96,0,0,18,75,157,0,2,31,17,0,0,27,37,16,0,7,0,0,0,0,101,143,61,31,11,51,304
KO:K00156,90,9,13,234,18,240,304,0,8,36,350,387,0,8,152,612,164,160,207,649,330,4,0,0,61,14,7,0,399,334,0,0
KO:K00158,83,9,13,204,18,226,293,0,0,17,350,363,0,8,140,560,164,137,198,598,252,4,0,0,55,14,7,0,336,263,0,0
KO:K00161,1996,350,178,117,465,513,344,269,908,578,545,271,351,391,34,162,314,505,299,425,67,11,7,12,5,404,916,768,4887,486,558,3020
KO:K00162,1654,458,179,147,389,341,252,181,655,544,892,174,118,328,0,148,230,451,319,352,95,0,15,4,2,406,1025,775,424,560,361,561
KO:K00163,5474,1243,208,332,2211,298,276,255,10771,972,811,792,300,2059,139,1752,1706,2158,1302,1764,365,14,8,87,22,714,2546,980,952,737,363,845
KO:K00164,4340,1264,154,365,3966,1211,499,158,51462,1181,2107,771,111,935,103,184,866,1374,1605,1311,225,7,0,109,10,687,1665,1250,925,754,404,1672
KO:K00166,254,129,8,56,31,21,43,40,148,98,60,8,71,44,0,32,22,68,228,88,83,0,0,145,0,53,83,57,85,49,18,65
KO:K00167,257,86,26,4,45,187,24,29,86,74,197,11,29,40,0,10,69,52,231,62,39,0,0,22,0,63,81,73,72,26,12,94
KO:K00169,1292,592,334,76,220,0,40,282,2371,7561,52,79,222,264,30,213,171,293,521,391,76,0,29,39,11,318,1043,1064,126,159,305,7025
KO:K00170,1375,633,395,165,499,0,136,333,701,754,169,126,542,351,169,297,400,369,545,313,129,2,56,69,46,457,1005,980,175,119,403,633
KO:K00171,252,320,131,48,117,0,30,101,147,399,27,11,121,129,0,124,108,117,235,122,49,5,11,24,5,155,144,346,123,73,2021,298
KO:K00172,760,83,83,39,136,46,5,71,171,124,47,37,146,86,30,82,128,140,58,112,21,2,0,5,5,99,623,323,55,44,108,75
KO:K00174,10484,2194,967,995,4482,967,672,978,7713,15371,1829,546,1306,3015,238,1083,3437,2939,1255,1729,682,99,77,72,52,1735,5061,2517,2190,1616,1183,2097
KO:K00175,14211,1437,684,467,1427,666,332,791,2612,1477,901,300,736,1637,77,586,2003,1891,736,937,297,95,54,56,42,1003,2973,1452,1181,834,850,1558
KO:K00176,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,190,354,3,0,0,0
KO:K00177,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,232,128,0,0,0,0
KO:K00179,174,49,12,0,119,0,0,9,57,26,0,9,0,16,0,0,3,12,0,28,17,119,0,2,0,20,121,134,26,8,51,60
KO:K00180,52,5,0,0,21,0,0,9,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,30,31,0,0,13,3
KO:K00183,5,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,24,152,143,0,0,0,0
KO:K00184,7329,941,178,8,1195,0,37,425,19453,1050,26,12,101,1240,0,52,527,736,249,139,96,0,2,51,2,506,1623,956,165,16,502,894
KO:K00185,2412,821,215,0,996,7,0,349,3431,931,67,15,116,829,0,20,175,298,215,91,100,0,4,23,0,440,1177,822,96,10,387,702
KO:K00186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,0,0,0,0
KO:K00187,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,366,0,0,0,0
KO:K00189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
KO:K00192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0
KO:K00193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
KO:K00194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,92,0,0,0,0
KO:K00196,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,9,9,4,0,0
KO:K00197,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,101,4,0,0,0
KO:K00198,67,26,0,0,0,0,0,0,21,0,0,15,0,0,0,0,0,0,0,11,0,0,0,0,0,20,213,200,0,25,0,3
KO:K00200,41,6,0,0,8,0,0,12,38,14,8,0,0,42,0,0,25,7,11,11,0,0,0,0,0,0,14,11,17,4,0,13
